molecule_chembl_id,canonical_smiles,clean_smiles,IC50_nM
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,Cc1cc(C)c(C=C2C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CN(c1ccccc1)c1ncnc2ccc(NN=NCc3ccccn3)cc12,9300.0
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,N#CC(=Cc1ccc(O)cc1)C(N)=C(C#N)C#N,125.0
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,N#CC(=Cc1ccc(O)c(O)c1)C(N)=O,10000.0
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,3000.0
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,CN=NNc1ccc2ncnc(N(C)c3ccccc3)c2c1,8000.0
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CN(C)N=Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CN=NNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,Brc1cccc(Nc2ncnc3ccc(NN=NCCN4CCOCC4)cc23)c1,64.0
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,Nc1ccc2ncnc(NCc3ccccc3)c2c1,508.0
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,Cc1cc(C=C2C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,210.0
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1410.0
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400.0
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)O)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,COc1cc(C=C(C#N)C#N)cc(O)c1O,6000.0
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0
